ID,LabelIdx,AreaName,Experiment,Cellline,Passage,Day,Condition,LRRK2,NucMaskSum,FOXA2MaskSum,NonTH_FOXA2,TH_FOXA2,THMaskSum,FOXA2ByNuc,THByNuc,NucMaskHigh,NonTH_FOXA2byNucPerim,TH_FOXA2byNucPerim,THFragmentation,SkelTH,Nodes,Links,THPercent
PD038,1,BILLWT_p6_d70,DAN2017_3,H3,p6,d70,H,WT,286387,23949132,30716571,101581,102136,83.62506678,0.3566363,0,22.14601781,0.073237818,0.640596851,4662,290,694,2.427184466
PD039,2,BILLWT_p5_d70,DAN2017_3,H3,p5,d70,H,WT,2244916,24588098,30746473,144745,146615,10.952792,0.065309793,0,4.987117649,0.023477826,0.632049927,6429,391,922,1.41509434
PD040,3,BILLWT_p4_d70,DAN2017_3,H3,p4,d70,H,WT,21797304,46283221,52968315,5004208,6106788,2.123346126,0.280162538,576168,3.005232744,0.283920864,0.517135849,233028,15875,34693,40.69156293
PD041,4,BILLWT_p6_d70,DAN2017_3,H3,p6,d70,H,WT,25896379,44544676,48941577,4335759,5287296,1.720112144,0.204171247,2164115,4.698399812,0.41623361,0.526323852,213852,14408,31061,52.3853211
PD042,5,BILLWT_p4_d70,DAN2017_3,H3,p4,d70,H,WT,22519398,48173125,52045614,7652462,8974863,2.139183516,0.398539206,719639,2.243413217,0.329857467,0.489254042,355788,26705,56067,44.7147651
PD043,6,BILLWT_p6_d70,DAN2017_3,H3,p6,d70,H,WT,10644084,36058427,35755443,4471148,5184085,3.387649609,0.487039091,78015,3.446247304,0.430946464,0.504368852,203868,14841,31342,53.57798165
PD044,7,BILLWT_p5_d70,DAN2017_3,H3,p5,d70,H,WT,18033934,54705248,49210759,7649703,9207966,3.033461695,0.510591089,549019,3.192221647,0.496223753,0.490662867,379662,28027,59751,62.454324
PD045,8,BILLWT_p4_d70,DAN2017_3,H3,p4,d70,H,WT,9075110,31832859,26885164,7665022,8663193,3.50771054,0.954610247,121063,2.785924293,0.794273414,0.496133239,383815,30116,62375,81.24156545
PD046,9,BILLWT_p6_d70,DAN2017_3,H3,p6,d70,H,WT,21059320,54847393,48672638,3784659,4875085,2.604423742,0.231492992,475430,6.341657257,0.493110939,0.466852783,151338,10035,21684,34.18447108
PD047,10,BILLWT_p5_d70,DAN2017_3,H3,p5,d70,H,WT,9814214,19557759,21421442,2891662,3663615,1.992799321,0.373296833,53030,1.632797072,0.22040987,0.515293501,152326,10581,22695,46.0306644
PD048,11,BILLWT_p4_d70,DAN2017_3,H3,p4,d70,H,WT,18820732,33530361,42725541,4968120,6117588,1.781565191,0.325045168,492937,2.230968617,0.259416722,0.514821855,235002,15816,34438,38.8568684
PD049,12,BILLWT_p6_d35,DAN2017_3,H3,p6,d35,H,WT,20668661,49767731,44322948,8427575,10896014,2.407883655,0.527175611,483008,3.635166121,0.691191279,0.46665331,385016,27490,57277,57.5617284
PD050,13,BILLWT_p5_d35,DAN2017_3,H3,p5,d35,H,WT,11617470,15658849,21168862,1735818,2280410,1.347870836,0.196291447,39840,1.09561978,0.089839337,0.530141071,94995,5920,13419,29.58647475
