ID,LabelIdx,AreaName,Experiment,ObjectSlide,Cellline,Replicate,Staining,Condition,Section,NucMaskSum,Tuj1MaskSum,MAP2MaskSum,THMaskSum,Tuj1ByNuc,MAP2ByNuc,THByNuc,NucMaskHigh,NucMaskAlive,THFragmentation,SkelTH,Nodes,Links,THPercent,THByTuj1,THByMap2,THByNucAlive,Tuj1ByNucAlive,MAP2ByNucAlive,NucAliveByNuc,NucDeadByNuc
14_24,1,hMO1_TOX14_Rep2_Center_6OHDA_Idx_1,TOX14,1901191,hMO1,2,190119,6OHDA,Center,25420937,34571554,29414444,15776575,1.359963797,1.157095193,0.620613434,16693994,8726943,0.342140293,467634,28422,57279,52.10012728,0.456345555,0.53635469,1.807800853,3.961473565,3.370532385,0.343297456,0.656702544
16_60,2,hMO3_TOX16_Rep2_Center_6OHDA_Idx_2,TOX16,19011922,hMO3,2,190119,6OHDA,Center,28831401,45886398,19141563,4829290,1.59154243,0.663913731,0.167501052,6208127,22623274,0.500548735,250116,14199,31547,11.19716037,0.105244478,0.252293399,0.213465566,2.028282821,0.84610048,0.784674806,0.215325194
14_26,3,hMO1_TOX14_Rep2_Center_CTRL_Idx_3,TOX14,1901191,hMO1,2,190119,CTRL,Center,14888339,27085493,17954478,19746928,1.819242093,1.205942315,1.326335194,10698440,4189899,0.282105551,651558,32026,67449,69.62209302,0.729059205,1.099833033,4.712984251,6.464473965,4.285181576,0.281421521,0.718578479
16_66,3,hMO1_TOX16_Rep1_Center_6OHDA_Idx_3_2,TOX16,1901251,hMO1,1,190125,6OHDA,Center,19957763,19287887,26215784,10929792,0.966435316,1.313563249,0.547646147,8238940,11718823,0.363912964,395960,20408,43158,32.40987984,0.566666115,0.416916465,0.932669774,1.645889438,2.237066299,0.587181189,0.412818811
16_3,3,hMO1_TOX16_Rep1_Center_6OHDA_Idx_3,TOX16,18112321,hMO1,1,181123,6OHDA,Center,28566167,26589669,21548906,14940223,0.930809828,0.754350627,0.523004119,17113160,11453007,0.366402028,606375,35328,74354,30.59895833,0.561880744,0.693317006,1.304480387,2.321632127,1.881506403,0.400929078,0.599070922
16_44,3,hMO1_TOX16_Rep2_Center_6OHDA_Idx_3,TOX16,19011921,hMO1,2,190119,6OHDA,Center,18420171,25290019,14234046,7606108,1.372952455,0.772742338,0.412922768,216968,18203203,0.364488645,353999,17836,41167,21.25501297,0.30075533,0.534360223,0.417844486,1.389316979,0.781952824,0.988221173,0.011778827
14_31,3,hMO2_TOX14_Rep2_Center_6OHDA_Idx_3,TOX14,1901191,hMO2,2,190119,6OHDA,Center,19249681,30417956,16748054,8799761,1.580179744,0.870043197,0.457138017,4292816,14956865,0.405028955,407416,23207,49288,44.28571429,0.289294948,0.525419908,0.588342611,2.033712011,1.119756981,0.776992876,0.223007124
16_82,3,hMO2_TOX16_Rep1_Center_6OHDA_Idx_3,TOX16,1901253,hMO2,1,190125,6OHDA,Center,2618287,9033796,9921793,596068,3.450269585,3.789421481,0.227655715,247958,2370329,0.432593261,28564,1318,2912,17.34627832,0.065982008,0.060076641,0.251470576,3.811199205,4.185829478,0.905297624,0.094702376
12_50,3,hMO3_TOX12_Rep2_Center_6OHDA_Idx_3,TOX12,1811235,hMO3,2,181123,6OHDA,Center,11767185,15750468,6294904,1441560,1.338507723,0.534954112,0.122506785,7228299,4538886,0.441579261,59078,3332,7189,6.853582555,0.091524899,0.229004287,0.317602161,3.470117557,1.386883037,0.385724028,0.614275972
14_39,3,hMO3_TOX14_Rep2_Center_6OHDA_Idx_3,TOX14,1901192,hMO3,2,190119,6OHDA,Center,26850995,52397832,22789367,15634174,1.951429807,0.848734544,0.582256784,3037838,23813157,0.40569441,756348,45226,97508,53.91828533,0.298374444,0.686029322,0.656535125,2.20037318,0.95700738,0.886863113,0.113136887
16_61,3,hMO3_TOX16_Rep2_Center_CTRL_Idx_3,TOX16,19011922,hMO3,2,190119,CTRL,Center,25207253,45156921,27242568,16802207,1.791425706,1.080743229,0.666562398,7482510,17724743,0.419306642,737313,47145,98680,50.63715627,0.372084868,0.616762964,0.94795208,2.547677052,1.536979577,0.703160436,0.296839564
14_4,4,hMO1_TOX14_Rep1_Center_6OHDA_Idx_4,TOX14,1807021,hMO1,1,180702,6OHDA,Center,23086383,66421749,21568632,14798337,2.877096382,0.93425774,0.640998505,12727275,10359108,0.392934017,454536,28538,57900,61.23595506,0.222793546,0.686104571,1.428533905,6.411917802,2.082093555,0.44871074,0.55128926
14_27,4,hMO1_TOX14_Rep2_Border_6OHDA_Idx_4,TOX14,1901191,hMO1,2,190119,6OHDA,Border,2444847,18738985,7531370,2145960,7.664686175,3.080507696,0.877748178,563075,1881772,0.356002908,75950,3995,8255,52.65438787,0.114518476,0.284936207,1.140393204,9.958159118,4.002275515,0.769689064,0.230310936
